model,fold,fold_size,feature,importance
Random Forest,1,115,Brevundimonas,9.944223652296479e-05
Random Forest,1,115,Microbacterium,0.0029184855929145085
Random Forest,1,115,Catonella,0.005306639655415397
Random Forest,1,115,Thermus,0.00025499426236876894
Random Forest,1,115,Alloscardovia,9.586751178038673e-05
Random Forest,1,115,Agathobacter,0.0001735484374768995
Random Forest,1,115,Streptococcus,0.035088062601437715
Random Forest,1,115,Faecalibacterium,0.013248711795884528
Random Forest,1,115,Curtobacterium,9.802895529983424e-05
Random Forest,1,115,Coprococcus,0.0
Random Forest,1,115,Allisonella,0.0
Random Forest,1,115,Actinomyces,0.005178764655289288
Random Forest,1,115,Eikenella,0.00015276801856906484
Random Forest,1,115,Arachnia,0.0011234378699242725
Random Forest,1,115,Lachnoanaerobaculum,0.005882565092035348
Random Forest,1,115,Mesorhizobium,5.079506931535539e-05
Random Forest,1,115,Tannerella,0.0004317561912673297
Random Forest,1,115,Herbiconiux,8.384050996894486e-05
Random Forest,1,115,Lancefieldella,0.009663481716121837
Random Forest,1,115,Butyrivibrio,0.0006421027135206052
Random Forest,1,115,Streptobacillus,0.0008168685751862983
Random Forest,1,115,Oribacterium,0.01606160814626066
Random Forest,1,115,Luteovulum,0.00024636642106159535
Random Forest,1,115,Staphylococcus,0.038300582248190204
Random Forest,1,115,Gardnerella,8.187774087354828e-05
Random Forest,1,115,Wolinella,0.0
Random Forest,1,115,Centipeda,0.003335195368365309
Random Forest,1,115,Cardiobacterium,0.0001422013410595165
Random Forest,1,115,Fenollaria,5.835768012074153e-05
Random Forest,1,115,Porphyromonas,0.0011355628092829988
Random Forest,1,115,Metamycoplasma,0.00037768511241031554
Random Forest,1,115,Stenotrophomonas,0.006277409174475403
Random Forest,1,115,Slackia,0.00023401136388548612
Random Forest,1,115,Pseudonocardia,4.7445217451173615e-05
Random Forest,1,115,Massiliprevotella,0.0004624743801728015
Random Forest,1,115,Campylobacter,0.002767217527019445
Random Forest,1,115,Azorhizophilus,0.0002868315643600562
Random Forest,1,115,Peptococcus,0.0016125465005205585
Random Forest,1,115,Kocuria,0.000819789177000093
Random Forest,1,115,Shuttleworthia,0.07570916234440557
Random Forest,1,115,Agrobacterium,0.0040992796873130085
Random Forest,1,115,Nitrolancea,0.0
Random Forest,1,115,Verticiella,0.0017384471105798024
Random Forest,1,115,Finegoldia,0.00011426571761466385
Random Forest,1,115,Cellulosilyticum,0.0
Random Forest,1,115,Paracoccus,0.00013776660597424363
Random Forest,1,115,Atopobium,0.0
Random Forest,1,115,Ezakiella,0.08453310112670435
Random Forest,1,115,Mycobacterium,0.1045412781454861
Random Forest,1,115,Conservatibacter,0.00157795189971857
Random Forest,1,115,Brevibacterium,0.00011237097393358171
Random Forest,1,115,Aggregatibacter,0.0
Random Forest,1,115,Gordonia,1.4299538597690644e-05
Random Forest,1,115,Rhodococcus,5.431286700028906e-05
Random Forest,1,115,Fusobacterium,0.006244787688049227
Random Forest,1,115,Anaerococcus,0.002780133175975641
Random Forest,1,115,Marmoricola,5.0343374187102075e-05
Random Forest,1,115,Basfia,3.274238476409669e-05
Random Forest,1,115,Peptoniphilus,0.00010728015764378849
Random Forest,1,115,Cellulomonas,0.13648054666547563
Random Forest,1,115,Scardovia,0.01148907325839468
Random Forest,1,115,Stenotrophobacter,8.284872676992615e-05
Random Forest,1,115,Prevotella,0.03667409909465519
Random Forest,1,115,Leptotrichia,0.013069161301436823
Random Forest,1,115,Bergeriella,0.0001668228676420769
Random Forest,1,115,Aureimonas,0.0003635076265587351
Random Forest,1,115,Marseilla,3.228835244653387e-05
Random Forest,1,115,Fimbriiglobus,0.00011830901698624938
Random Forest,1,115,Roseomonas,0.0
Random Forest,1,115,Aliarcobacter,0.0
Random Forest,1,115,Craurococcus,3.404268855092625e-05
Random Forest,1,115,Capnocytophaga,0.0022910714586347725
Random Forest,1,115,Anaerosinus,6.216667592035995e-07
Random Forest,1,115,Parvimonas,0.008664516109980024
Random Forest,1,115,Howardella,0.0025611412338313383
Random Forest,1,115,Fudania,9.102873836000074e-05
Random Forest,1,115,Peptoanaerobacter,6.213129457674024e-05
Random Forest,1,115,Rhizobium,0.0017046324033084524
Random Forest,1,115,Mannheimia,0.0007782075617236358
Random Forest,1,115,Cryptobacterium,0.00012710512128875185
Random Forest,1,115,Dolosigranulum,0.00013799148444066384
Random Forest,1,115,Pseudescherichia,0.0
Random Forest,2,260,mediumBAL,0.0
Random Forest,2,260,mediumNPS,0.0
Random Forest,2,260,mediumSputum,0.0
Random Forest,2,260,mediumTS,0.0
Random Forest,2,260,adult_pediatric,3.447089143592518e-05
Random Forest,2,260,continent,1.5528196422116898e-05
Random Forest,2,260,sex,0.0032115935687600404
Random Forest,2,260,Veillonella,0.009574915152403031
Random Forest,2,260,Alloprevotella,0.0012033946213427754
Random Forest,2,260,Dietzia,0.002204781226753715
Random Forest,2,260,Varibaculum,0.0
Random Forest,2,260,Fannyhessea,0.0006301451725483702
Random Forest,2,260,Selenomonas,0.003389119556075874
Random Forest,2,260,Granulicatella,0.0055517269571415465
Random Forest,2,260,Lawsonella,0.00028704296520903915
Random Forest,2,260,Olsenella,0.00024577091320830533
Random Forest,2,260,Stomatobaculum,0.005736611113942167
Random Forest,2,260,Janibacter,0.0
Random Forest,2,260,Haemophilus,0.005634993339379229
Random Forest,2,260,Actinobacillus,0.0007291667277275834
Random Forest,2,260,Acinetobacter,0.10004996185275121
Random Forest,2,260,Mogibacterium,0.0015398160123313385
Random Forest,2,260,Abiotrophia,0.0027295144490745455
Random Forest,2,260,Murdochiella,0.0
Random Forest,2,260,Bifidobacterium,0.022143792531088433
Random Forest,2,260,Neisseria,0.003998615343469815
Random Forest,2,260,Klebsiella,0.004265410886107304
Random Forest,2,260,Helicobacter,1.190911325200678e-05
Random Forest,2,260,Cutibacterium,0.00011955791550602188
Random Forest,2,260,Solobacterium,0.004005812938226402
Random Forest,2,260,Gemella,0.047743840225751746
Random Forest,2,260,Peptostreptococcus,0.014217226041653182
Random Forest,2,260,Amniculibacterium,0.009316980491426511
Random Forest,2,260,Lautropia,0.0013344980457399627
Random Forest,2,260,Schaalia,0.010962758689488528
Random Forest,2,260,Aminipila,0.010739676866843179
Random Forest,2,260,Clostridium_sensu_stricto,0.006622276786321847
Random Forest,2,260,Prevotellamassilia,0.00015741004401602794
Random Forest,2,260,Deinococcus,0.015175378225305222
Random Forest,2,260,Filifactor,0.00019747941044458354
Random Forest,2,260,Johnsonella,4.297095048686408e-05
Random Forest,2,260,Moraxella,0.004023625161692327
Random Forest,2,260,Fretibacterium,0.0007999591731478774
Random Forest,2,260,Brachybacterium,6.6216194428778805e-06
Random Forest,2,260,Pseudomonas,0.05287237909338719
Random Forest,2,260,Rothia,0.005085511785873174
Random Forest,2,260,Blautia,0.0017466543177819176
Random Forest,2,260,Eubacterium,0.0007174175972576808
Random Forest,2,260,Sphingobium,0.00011173411928382834
Random Forest,2,260,Corynebacterium,0.0016753299664524367
Random Forest,2,260,Kingella,0.0007508157567342838
Random Forest,2,260,Micrococcus,0.04982507390206735
Random Forest,2,260,Enterocloster,0.04657313206116863
Random Forest,2,260,Megasphaera,0.0034129908765921997
Random Forest,2,260,Methylobacterium,0.0001765901767725867
Random Forest,2,260,Bradyrhizobium,8.449100691815974e-05
Random Forest,2,260,Sphingomonas,0.00074723975114553
Random Forest,2,260,Brevundimonas,0.00017518183387989
Random Forest,2,260,Microbacterium,2.2404396399154052e-05
Random Forest,2,260,Catonella,0.0008005316185019139
Random Forest,2,260,Thermus,0.0005227926966241501
Random Forest,2,260,Alloscardovia,0.0002924190311941365
Random Forest,2,260,Agathobacter,0.01003398377693703
Random Forest,2,260,Streptococcus,0.01596948793582889
Random Forest,2,260,Faecalibacterium,0.08236103341879318
Random Forest,2,260,Curtobacterium,9.381393697419606e-05
Random Forest,2,260,Coprococcus,0.002044608566001641
Random Forest,2,260,Allisonella,0.0
Random Forest,2,260,Actinomyces,0.005432324475047363
Random Forest,2,260,Eikenella,0.0005635257731403361
Random Forest,2,260,Arachnia,8.615547450790442e-05
Random Forest,2,260,Lachnoanaerobaculum,0.0326699469495251
Random Forest,2,260,Mesorhizobium,3.1589617829004596e-05
Random Forest,2,260,Tannerella,0.0013001726416678094
Random Forest,2,260,Herbiconiux,1.6543444806142407e-05
Random Forest,2,260,Lancefieldella,0.034748359786214045
Random Forest,2,260,Butyrivibrio,0.0003139878194861006
Random Forest,2,260,Streptobacillus,0.00043769279919709446
Random Forest,2,260,Oribacterium,0.07423936359660759
Random Forest,2,260,Luteovulum,2.706035081655194e-06
Random Forest,2,260,Staphylococcus,0.035066859999714935
Random Forest,2,260,Gardnerella,0.0008387642200855598
Random Forest,2,260,Wolinella,0.0
Random Forest,2,260,Centipeda,0.003324912321451742
Random Forest,2,260,Cardiobacterium,0.00023191387708698275
Random Forest,2,260,Fenollaria,0.0
Random Forest,2,260,Porphyromonas,0.0028108799189736117
Random Forest,2,260,Metamycoplasma,0.0026779751230988948
Random Forest,2,260,Stenotrophomonas,0.013567616174454468
Random Forest,2,260,Slackia,0.00012958541929092076
Random Forest,2,260,Pseudonocardia,1.620869051079016e-05
Random Forest,2,260,Massiliprevotella,0.0003864067005274238
Random Forest,2,260,Campylobacter,0.0035415273355484606
Random Forest,2,260,Azorhizophilus,6.393393971994715e-05
Random Forest,2,260,Peptococcus,0.0022999383546516068
Random Forest,2,260,Kocuria,0.0
Random Forest,2,260,Shuttleworthia,0.08410701425180322
Random Forest,2,260,Agrobacterium,0.0007045115778891944
Random Forest,2,260,Nitrolancea,0.0
Random Forest,2,260,Verticiella,6.80747815089586e-05
Random Forest,2,260,Finegoldia,0.00021817482094498808
Random Forest,2,260,Cellulosilyticum,0.0
Random Forest,2,260,Paracoccus,0.0
Random Forest,2,260,Atopobium,0.0
Random Forest,2,260,Ezakiella,0.002841220926806978
Random Forest,2,260,Mycobacterium,0.001614119983476195
Random Forest,2,260,Conservatibacter,3.840325949455269e-05
Random Forest,2,260,Brevibacterium,0.0011832133879257332
Random Forest,2,260,Aggregatibacter,0.0006901535951003253
Random Forest,2,260,Gordonia,0.0
Random Forest,2,260,Rhodococcus,0.0
Random Forest,2,260,Fusobacterium,0.012810934558994685
Random Forest,2,260,Anaerococcus,0.00022588860444338937
Random Forest,2,260,Marmoricola,5.286713081349317e-05
Random Forest,2,260,Basfia,0.0
Random Forest,2,260,Peptoniphilus,0.0009611504340432827
Random Forest,2,260,Cellulomonas,0.04065277707260175
Random Forest,2,260,Scardovia,0.010846389517795272
Random Forest,2,260,Stenotrophobacter,7.996007748881541e-05
Random Forest,2,260,Prevotella,0.016945684638772388
Random Forest,2,260,Leptotrichia,0.008062485310721793
Random Forest,2,260,Bergeriella,0.0011918546498251666
Random Forest,2,260,Aureimonas,4.814738508366435e-05
Random Forest,2,260,Marseilla,0.0022884527947102046
Random Forest,2,260,Fimbriiglobus,2.0603729928647534e-06
Random Forest,2,260,Roseomonas,0.0
Random Forest,2,260,Aliarcobacter,0.0
Random Forest,2,260,Craurococcus,0.0
Random Forest,2,260,Capnocytophaga,0.006073768270308276
Random Forest,2,260,Anaerosinus,0.0022951369826272575
Random Forest,2,260,Parvimonas,0.0051394029763725604
Random Forest,2,260,Howardella,0.0027661307142725295
Random Forest,2,260,Fudania,0.0011288816275538116
Random Forest,2,260,Peptoanaerobacter,0.00011351771293018448
Random Forest,2,260,Rhizobium,0.002404615758441118
Random Forest,2,260,Mannheimia,0.0
Random Forest,2,260,Cryptobacterium,9.160396358573396e-05
Random Forest,2,260,Dolosigranulum,0.004804541573959382
Random Forest,2,260,Pseudescherichia,0.0
Random Forest,3,94,mediumBAL,0.0
Random Forest,3,94,mediumNPS,0.0
Random Forest,3,94,mediumSputum,0.00022132226264619205
Random Forest,3,94,mediumTS,0.0003046219331389286
Random Forest,3,94,adult_pediatric,1.2947009292746627e-05
Random Forest,3,94,continent,0.0
Random Forest,3,94,sex,0.0020783160962187007
Random Forest,3,94,Veillonella,0.01883662493953603
Random Forest,3,94,Alloprevotella,0.001602360162276057
Random Forest,3,94,Dietzia,0.07656369232364583
Random Forest,3,94,Varibaculum,0.0
Random Forest,3,94,Fannyhessea,0.00618445922889855
Random Forest,3,94,Selenomonas,0.005162012268221914
Random Forest,3,94,Granulicatella,0.007082275863384717
Random Forest,3,94,Lawsonella,0.00033867273743785713
Random Forest,3,94,Olsenella,0.00012636926732818125
Random Forest,3,94,Stomatobaculum,0.00935589934705143
Random Forest,3,94,Janibacter,3.597869304179499e-05
Random Forest,3,94,Haemophilus,0.005709141500286577
Random Forest,3,94,Actinobacillus,0.0003913148079167391
Random Forest,3,94,Acinetobacter,0.0010086907085180413
Random Forest,3,94,Mogibacterium,0.003001259077571411
Random Forest,3,94,Abiotrophia,0.00859813967126031
Random Forest,3,94,Murdochiella,4.5676825050037825e-05
Random Forest,3,94,Bifidobacterium,0.012355857206941297
Random Forest,3,94,Neisseria,0.004152433062640674
Random Forest,3,94,Klebsiella,0.0022706315326837014
Random Forest,3,94,Helicobacter,0.0025617888950477887
Random Forest,3,94,Cutibacterium,0.0005009569156708611
Random Forest,3,94,Solobacterium,0.0030114978782419216
Random Forest,3,94,Gemella,0.0720864122307882
Random Forest,3,94,Peptostreptococcus,0.008848820978771125
Random Forest,3,94,Amniculibacterium,0.013046843527444054
Random Forest,3,94,Lautropia,0.0012942503827275164
Random Forest,3,94,Schaalia,0.012155578836641645
Random Forest,3,94,Aminipila,0.0004447547111704979
Random Forest,3,94,Clostridium_sensu_stricto,0.018593595289834154
Random Forest,3,94,Prevotellamassilia,0.000382889006577292
Random Forest,3,94,Deinococcus,0.01062029769654736
Random Forest,3,94,Filifactor,0.00019740526294957975
Random Forest,3,94,Johnsonella,0.0002851655826861771
Random Forest,3,94,Moraxella,0.0012981909477093405
Random Forest,3,94,Fretibacterium,0.0006126101498251081
Random Forest,3,94,Brachybacterium,0.0004275024304555006
Random Forest,3,94,Pseudomonas,0.0195391867031804
Random Forest,3,94,Rothia,0.004014239029306224
Random Forest,3,94,Blautia,0.0006804124942431155
Random Forest,3,94,Eubacterium,0.0011564700541697457
Random Forest,3,94,Sphingobium,0.00010044165997923075
Random Forest,3,94,Corynebacterium,0.0019680303213782642
Random Forest,3,94,Kingella,0.0007909067229174941
Random Forest,3,94,Micrococcus,0.06155620756643088
Random Forest,3,94,Enterocloster,0.0013911665209695564
Random Forest,3,94,Megasphaera,0.0038583460920505563
Random Forest,3,94,Methylobacterium,0.005945226842022214
Random Forest,3,94,Bradyrhizobium,0.00017177112859696145
Random Forest,3,94,Sphingomonas,0.002206927767636972
Random Forest,3,94,Brevundimonas,0.00014785537686350214
Random Forest,3,94,Microbacterium,0.00017663214610986973
Random Forest,3,94,Catonella,0.003679963981386002
Random Forest,3,94,Thermus,0.0014880042234086527
Random Forest,3,94,Alloscardovia,2.004164736578141e-05
Random Forest,3,94,Agathobacter,0.00012031695723464183
Random Forest,3,94,Streptococcus,0.020701465272788627
Random Forest,3,94,Faecalibacterium,0.003720457637086499
Random Forest,3,94,Curtobacterium,0.00011451932408172595
Random Forest,3,94,Coprococcus,3.624803645426782e-05
Random Forest,3,94,Allisonella,1.648600075836829e-05
Random Forest,3,94,Actinomyces,0.005980480870431853
Random Forest,3,94,Eikenella,0.00033281170491077626
Random Forest,3,94,Arachnia,0.0009867360843572198
Random Forest,3,94,Lachnoanaerobaculum,0.005500579068308344
Random Forest,3,94,Mesorhizobium,4.630528470436225e-05
Random Forest,3,94,Tannerella,0.0010630192220606035
Random Forest,3,94,Herbiconiux,0.0
Random Forest,3,94,Lancefieldella,0.00795414880772137
Random Forest,3,94,Butyrivibrio,0.0004880241554994906
Random Forest,3,94,Streptobacillus,0.0008345155379839906
Random Forest,3,94,Oribacterium,0.006164399311822313
Random Forest,3,94,Luteovulum,0.014661965089418994
Random Forest,3,94,Staphylococcus,0.04197445282466746
Random Forest,3,94,Gardnerella,0.005405792291242685
Random Forest,3,94,Wolinella,4.653818410541943e-06
Random Forest,3,94,Centipeda,0.002229797749325946
Random Forest,3,94,Cardiobacterium,0.00016636489238568809
Random Forest,3,94,Fenollaria,0.0
Random Forest,3,94,Porphyromonas,0.0012901823576054185
Random Forest,3,94,Metamycoplasma,0.001167333227418854
Random Forest,3,94,Stenotrophomonas,0.004744119540474436
Random Forest,3,94,Slackia,0.00011477646794578007
Random Forest,3,94,Pseudonocardia,8.276271073476757e-05
Random Forest,3,94,Massiliprevotella,0.00044116343089536177
Random Forest,3,94,Campylobacter,0.004131669953639496
Random Forest,3,94,Azorhizophilus,0.0005696236036726146
Random Forest,3,94,Peptococcus,0.0019424437078491283
Random Forest,3,94,Kocuria,0.0007783070820267075
Random Forest,3,94,Shuttleworthia,0.04956980025100526
Random Forest,3,94,Agrobacterium,0.0012660191821329942
Random Forest,3,94,Nitrolancea,1.4696692282228968e-05
Random Forest,3,94,Verticiella,0.003050364471612149
Random Forest,3,94,Finegoldia,0.021724870910395377
Random Forest,3,94,Cellulosilyticum,0.0
Random Forest,3,94,Paracoccus,0.00014707113286409373
Random Forest,3,94,Atopobium,3.510037712251804e-05
Random Forest,3,94,Ezakiella,0.16549452917486673
Random Forest,3,94,Mycobacterium,0.0018909624968874157
Random Forest,3,94,Conservatibacter,0.0005846789204205711
Random Forest,3,94,Brevibacterium,0.0002667526040019168
Random Forest,3,94,Aggregatibacter,0.0010087866093703838
Random Forest,3,94,Gordonia,0.0
Random Forest,3,94,Rhodococcus,4.6653010095644124e-05
Random Forest,3,94,Fusobacterium,0.005677169803551934
Random Forest,3,94,Anaerococcus,0.00047791557976310637
Random Forest,3,94,Marmoricola,3.362588126433962e-05
Random Forest,3,94,Basfia,0.0
Random Forest,3,94,Peptoniphilus,0.003942569257610715
Random Forest,3,94,Cellulomonas,0.08755514115189142
Random Forest,3,94,Scardovia,0.010878867831915148
Random Forest,3,94,Stenotrophobacter,4.791720673621386e-05
Random Forest,3,94,Prevotella,0.055600290118559145
Random Forest,3,94,Leptotrichia,0.012183105697032702
Random Forest,3,94,Bergeriella,0.000702586757262033
Random Forest,3,94,Aureimonas,0.00011995660037965708
Random Forest,3,94,Marseilla,3.0097613215388962e-05
Random Forest,3,94,Fimbriiglobus,8.972147393411433e-05
Random Forest,3,94,Roseomonas,3.1336807532629334e-05
Random Forest,3,94,Aliarcobacter,0.0
Random Forest,3,94,Craurococcus,0.0
Random Forest,3,94,Capnocytophaga,0.005840909353867099
Random Forest,3,94,Anaerosinus,2.2864084752869149e-07
Random Forest,3,94,Parvimonas,0.008961346669469242
Random Forest,3,94,Howardella,0.00149859852870511
Random Forest,3,94,Fudania,2.6792435344758954e-05
Random Forest,3,94,Peptoanaerobacter,0.0001780753189971871
Random Forest,3,94,Rhizobium,0.0003034336334743651
Random Forest,3,94,Mannheimia,4.338326040619513e-05
Random Forest,3,94,Cryptobacterium,0.0002676464533595084
Random Forest,3,94,Dolosigranulum,0.005943988541813522
Random Forest,3,94,Pseudescherichia,0.0
Random Forest,4,22,mediumBAL,0.0
Random Forest,4,22,mediumNPS,0.0
Random Forest,4,22,mediumSputum,8.003101648740022e-05
Random Forest,4,22,mediumTS,0.00020980931434233727
Random Forest,4,22,adult_pediatric,2.7344337176885585e-05
Random Forest,4,22,continent,0.0
Random Forest,4,22,sex,0.0019514929379375518
Random Forest,4,22,Veillonella,0.011925039629891982
Random Forest,4,22,Alloprevotella,0.0019056579829524161
Random Forest,4,22,Dietzia,0.059755347636315286
Random Forest,4,22,Varibaculum,3.903117593103799e-07
Random Forest,4,22,Fannyhessea,0.0010274926417913938
Random Forest,4,22,Selenomonas,0.003087249251047335
Random Forest,4,22,Granulicatella,0.010291211160289889
Random Forest,4,22,Lawsonella,0.0001996920496692711
Random Forest,4,22,Olsenella,0.00029037896317251575
Random Forest,4,22,Stomatobaculum,0.00792937774965695
Random Forest,4,22,Janibacter,0.0002039956812667292
Random Forest,4,22,Haemophilus,0.011584339241679625
Random Forest,4,22,Actinobacillus,0.0012922478987331043
Random Forest,4,22,Acinetobacter,0.0013292040732770295
Random Forest,4,22,Mogibacterium,0.0040910953918874
Random Forest,4,22,Abiotrophia,0.0057764217907002036
Random Forest,4,22,Murdochiella,2.682172116844452e-05
Random Forest,4,22,Bifidobacterium,0.012686344029816422
Random Forest,4,22,Neisseria,0.005256155192290556
Random Forest,4,22,Klebsiella,0.0030831964296706904
Random Forest,4,22,Helicobacter,8.60927131277635e-05
Random Forest,4,22,Cutibacterium,0.0002775853114610731
Random Forest,4,22,Solobacterium,0.0034199381688861438
Random Forest,4,22,Gemella,0.05595022199825689
Random Forest,4,22,Peptostreptococcus,0.012994757337571784
Random Forest,4,22,Amniculibacterium,0.011403585077888361
Random Forest,4,22,Lautropia,0.0012873025311372342
Random Forest,4,22,Schaalia,0.008342265466491512
Random Forest,4,22,Aminipila,0.0021758710609930372
Random Forest,4,22,Clostridium_sensu_stricto,0.009468795704940728
Random Forest,4,22,Prevotellamassilia,0.00016490834163231607
Random Forest,4,22,Deinococcus,0.010103025282914506
Random Forest,4,22,Filifactor,0.00021545992756239873
Random Forest,4,22,Johnsonella,0.00026524017336927144
Random Forest,4,22,Moraxella,0.0022355650178145503
Random Forest,4,22,Fretibacterium,0.0012619837155938042
Random Forest,4,22,Brachybacterium,0.0003687542421053474
Random Forest,4,22,Pseudomonas,0.034612308179451934
Random Forest,4,22,Rothia,0.0059197037257459895
Random Forest,4,22,Blautia,0.000929840025648545
Random Forest,4,22,Eubacterium,0.001597677124884412
Random Forest,4,22,Sphingobium,0.0001422050531699282
Random Forest,4,22,Corynebacterium,0.002729650860006349
Random Forest,4,22,Kingella,0.0010113643468189408
Random Forest,4,22,Micrococcus,0.041986767646736416
Random Forest,4,22,Enterocloster,0.01601562307582094
Random Forest,4,22,Megasphaera,0.005778878674778169
Random Forest,4,22,Methylobacterium,8.403881006066293e-05
Random Forest,4,22,Bradyrhizobium,0.0012076212582812697
Random Forest,4,22,Sphingomonas,0.0011300258866767865
Random Forest,4,22,Brevundimonas,4.717703675386113e-05
Random Forest,4,22,Microbacterium,0.0008185936194347646
Random Forest,4,22,Catonella,0.004905793800782606
Random Forest,4,22,Thermus,0.0009383183991977241
Random Forest,4,22,Alloscardovia,0.00010251149760365504
Random Forest,4,22,Agathobacter,0.0006907777842206554
Random Forest,4,22,Streptococcus,0.025506761267899424
Random Forest,4,22,Faecalibacterium,0.006562400705708135
Random Forest,4,22,Curtobacterium,3.74285857112813e-05
Random Forest,4,22,Coprococcus,2.9105603082718466e-05
Random Forest,4,22,Allisonella,5.3316031177566695e-05
Random Forest,4,22,Actinomyces,0.008160827301566143
Random Forest,4,22,Eikenella,0.0003898760302385098
Random Forest,4,22,Arachnia,0.002407888290008708
Random Forest,4,22,Lachnoanaerobaculum,0.005415022892863535
Random Forest,4,22,Mesorhizobium,2.788718763240251e-06
Random Forest,4,22,Tannerella,0.0011404163837822857
Random Forest,4,22,Herbiconiux,0.00012614954350184188
Random Forest,4,22,Lancefieldella,0.008735934741695399
Random Forest,4,22,Butyrivibrio,0.0004993219604118221
Random Forest,4,22,Streptobacillus,0.0017687685946583451
Random Forest,4,22,Oribacterium,0.0085778823524919
Random Forest,4,22,Luteovulum,0.00025213517337212846
Random Forest,4,22,Staphylococcus,0.04265459102695558
Random Forest,4,22,Gardnerella,0.001171324485861964
Random Forest,4,22,Wolinella,0.0
Random Forest,4,22,Centipeda,0.002794642577148858
Random Forest,4,22,Cardiobacterium,0.0003147735634137885
Random Forest,4,22,Fenollaria,0.0
Random Forest,4,22,Porphyromonas,0.0019102587921436941
Random Forest,4,22,Metamycoplasma,0.0037811561277151648
Random Forest,4,22,Stenotrophomonas,0.014819383906017523
Random Forest,4,22,Slackia,0.0001755328982556091
Random Forest,4,22,Pseudonocardia,8.256388049280096e-05
Random Forest,4,22,Massiliprevotella,0.0004916139332437588
Random Forest,4,22,Campylobacter,0.0032645754300395027
Random Forest,4,22,Azorhizophilus,0.0022500293210307746
Random Forest,4,22,Peptococcus,0.0022283318020115584
Random Forest,4,22,Kocuria,0.00041135196611437867
Random Forest,4,22,Shuttleworthia,0.06518117855199397
Random Forest,4,22,Agrobacterium,0.031605586187238716
Random Forest,4,22,Nitrolancea,0.0
Random Forest,4,22,Verticiella,0.0024872597528448654
Random Forest,4,22,Finegoldia,0.00039908126068971674
Random Forest,4,22,Cellulosilyticum,0.0
Random Forest,4,22,Paracoccus,3.58145028831853e-05
Random Forest,4,22,Atopobium,3.9227372835927024e-05
Random Forest,4,22,Ezakiella,0.18997717197497363
Random Forest,4,22,Mycobacterium,0.0016845203361663672
Random Forest,4,22,Conservatibacter,0.000601196979725115
Random Forest,4,22,Brevibacterium,0.0028809848826117524
